	NDD	OmicsLayer	Gene	MeanRegDir	count
47	AD	DEG	ABCC5	0.0	6.0
48	AD	DEG	ABCC6	0.3333333333333333	3.0
49	AD	DEG	ABCC8	-0.1428571428571428	7.0
50	AD	DEG	ABCC9	1.0	6.0
51	AD	DEG	ABCD1	1.0	2.0
52	AD	DEG	ABCD2	-1.0	5.0
53	AD	DEG	ABCD3	0.5	4.0
54	AD	DEG	ABCD4	1.0	9.0
55	AD	DEG	ABCE1	-0.5	4.0
56	AD	DEG	ABCF1	0.3333333333333333	6.0
57	AD	DEG	ABCF2	0.0	2.0
58	AD	DEG	ABCF3	-1.0	5.0
59	AD	DEG	ABCG1	1.0	4.0
60	AD	DEG	ABCG2	0.0	8.0
61	AD	DEG	ABCG4	-0.3333333333333333	6.0
62	AD	DEG	ABCG5	0.3333333333333333	3.0
63	AD	DEG	ABCG8	1.0	3.0
64	AD	DEG	ABHD1	1.0	3.0
65	AD	DEG	ABHD10	-0.7777777777777778	9.0
66	AD	DEG	ABHD11	0.2	5.0
67	AD	DEG	ABHD12	-0.6666666666666666	6.0
68	AD	DEG	ABHD12B	0.0	6.0
69	AD	DEG	ABHD13	-1.0	4.0
70	AD	DEG	ABHD14A	-0.5	4.0
71	AD	DEG	ABHD14B	0.5	4.0
72	AD	DEG	ABHD15	1.0	2.0
73	AD	DEG	ABHD16B	0.0	2.0
74	AD	DEG	ABHD17B	0.0	6.0
75	AD	DEG	ABHD17C	-1.0	2.0
76	AD	DEG	ABHD18	0.3333333333333333	3.0
77	AD	DEG	ABHD2	-1.0	5.0
78	AD	DEG	ABHD3	1.0	5.0
79	AD	DEG	ABHD4	0.6666666666666666	6.0
80	AD	DEG	ABHD5	1.0	5.0
81	AD	DEG	ABHD6	0.3333333333333333	3.0
82	AD	DEG	ABHD8	-0.6	5.0
83	AD	DEG	ABI1	0.1428571428571428	7.0
84	AD	DEG	ABI2	-0.3333333333333333	6.0
85	AD	DEG	ABI3	1.0	3.0
86	AD	DEG	ABI3BP	0.0	10.0
87	AD	DEG	ABITRAM	-1.0	2.0
88	AD	DEG	ABL1	0.4285714285714285	7.0
89	AD	DEG	ABL2	-0.3333333333333333	9.0
90	AD	DEG	ABLIM1	0.25	8.0
91	AD	DEG	ABLIM2	-0.1111111111111111	9.0
92	AD	DEG	ABLIM3	0.5	4.0
93	AD	DEG	ABO	-0.3333333333333333	3.0
94	AD	DEG	ABR	-0.4285714285714285	7.0
95	AD	DEG	ABRACL	-0.3333333333333333	6.0
96	AD	DEG	ABRAXAS1	-1.0	3.0
97	AD	DEG	ABRAXAS2	-1.0	3.0
98	AD	DEG	ABT1	-0.3333333333333333	3.0
99	AD	DEG	ABTB1	0.2	5.0
100	AD	DEG	ABTB2	0.3333333333333333	3.0
101	AD	DEG	ACAA1	1.0	4.0
102	AD	DEG	ACAA2	0.2	5.0
103	AD	DEG	ACACA	-0.1428571428571428	7.0
104	AD	DEG	ACACB	0.75	8.0
105	AD	DEG	ACAD10	1.0	3.0
106	AD	DEG	ACAD8	-0.5	4.0
107	AD	DEG	ACAD9	-0.25	8.0
108	AD	DEG	ACADL	1.0	2.0
109	AD	DEG	ACADM	0.2	5.0
110	AD	DEG	ACADS	0.5	4.0
111	AD	DEG	ACADSB	-0.3333333333333333	6.0
112	AD	DEG	ACADVL	0.4	10.0
113	AD	DEG	ACAP1	0.0	2.0
114	AD	DEG	ACAP2	0.5	4.0
115	AD	DEG	ACAP3	-0.3333333333333333	3.0
116	AD	DEG	ACAT1	-0.25	8.0
117	AD	DEG	ACAT2	-0.25	8.0
118	AD	DEG	ACBD3	-0.3333333333333333	6.0
119	AD	DEG	ACBD4	1.0	4.0
120	AD	DEG	ACBD5	0.0	6.0
121	AD	DEG	ACBD6	-0.7777777777777778	9.0
122	AD	DEG	ACCS	0.2	5.0
123	AD	DEG	ACD	0.2	5.0
124	AD	DEG	ACE	0.2	5.0
125	AD	DEG	ACER2	1.0	3.0
126	AD	DEG	ACER3	0.4285714285714285	7.0
127	AD	DEG	ACHE	-0.2	5.0
128	AD	DEG	ACIN1	0.5	4.0
129	AD	DEG	ACKR1	0.3333333333333333	3.0
130	AD	DEG	ACKR2	1.0	2.0
131	AD	DEG	ACKR3	1.0	6.0
132	AD	DEG	ACKR4	0.0	2.0
133	AD	DEG	ACLY	-0.2	5.0
134	AD	DEG	ACMSD	1.0	2.0
135	AD	DEG	ACO1	0.1428571428571428	7.0
136	AD	DEG	ACO2	-0.5	8.0
137	AD	DEG	ACOT11	0.5	4.0
138	AD	DEG	ACOT12	0.0	2.0
139	AD	DEG	ACOT13	-0.4285714285714285	7.0
140	AD	DEG	ACOT4	0.0	4.0
141	AD	DEG	ACOT6	0.3333333333333333	3.0
142	AD	DEG	ACOT7	-0.8	10.0
143	AD	DEG	ACOT8	-0.5	12.0
144	AD	DEG	ACOT9	0.0	2.0
145	AD	DEG	ACOX1	-0.2	5.0
146	AD	DEG	ACOX2	0.3333333333333333	3.0
147	AD	DEG	ACOX3	0.4285714285714285	7.0
148	AD	DEG	ACOXL	-1.0	2.0
149	AD	DEG	ACP1	-0.8	10.0
150	AD	DEG	ACP2	-0.6363636363636364	11.0
151	AD	DEG	ACP5	0.3333333333333333	3.0
152	AD	DEG	ACP6	1.0	4.0
153	AD	DEG	ACRV1	1.0	2.0
154	AD	DEG	ACSBG1	0.3333333333333333	6.0
155	AD	DEG	ACSBG2	1.0	4.0
156	AD	DEG	ACSF2	1.0	2.0
157	AD	DEG	ACSF3	-0.3333333333333333	3.0
158	AD	DEG	ACSL1	0.7142857142857143	7.0
159	AD	DEG	ACSL3	-0.2	5.0
160	AD	DEG	ACSL4	-1.0	6.0
161	AD	DEG	ACSL5	1.0	5.0
162	AD	DEG	ACSL6	-0.25	8.0
163	AD	DEG	ACSM1	0.3333333333333333	3.0
164	AD	DEG	ACSM3	0.0	2.0
165	AD	DEG	ACSM5	1.0	5.0
166	AD	DEG	ACSM6	1.0	2.0
167	AD	DEG	ACSS1	1.0	9.0
168	AD	DEG	ACSS2	0.5	4.0
169	AD	DEG	ACSS3	0.4545454545454545	11.0
170	AD	DEG	ACTA1	-0.5	4.0
171	AD	DEG	ACTA2	0.5	4.0
172	AD	DEG	ACTB	-0.4285714285714285	7.0
173	AD	DEG	ACTC1	-1.0	3.0
174	AD	DEG	ACTG1	-0.5	8.0
175	AD	DEG	ACTG2	0.0	2.0
176	AD	DEG	ACTL6A	1.0	4.0
177	AD	DEG	ACTL6B	-0.3333333333333333	6.0
178	AD	DEG	ACTL8	0.0	2.0
179	AD	DEG	ACTN1	1.0	5.0
180	AD	DEG	ACTN2	-0.5555555555555556	9.0
181	AD	DEG	ACTN4	0.0	4.0
182	AD	DEG	ACTR10	-0.6666666666666666	12.0
183	AD	DEG	ACTR1A	-0.75	8.0
184	AD	DEG	ACTR1B	-0.25	8.0
185	AD	DEG	ACTR2	0.0	4.0
186	AD	DEG	ACTR3	-0.3333333333333333	6.0
187	AD	DEG	ACTR3B	-0.5	8.0
188	AD	DEG	ACTR3C	-0.2	5.0
189	AD	DEG	ACTR5	-0.2	5.0
190	AD	DEG	ACTR6	-0.4285714285714285	7.0
191	AD	DEG	ACTR8	-0.3333333333333333	3.0
192	AD	DEG	ACTRT3	-0.3333333333333333	6.0
193	AD	DEG	ACVR1	0.0	2.0
194	AD	DEG	ACVR1B	-0.3333333333333333	6.0
195	AD	DEG	ACVR1C	-1.0	4.0
196	AD	DEG	ACVR2A	-1.0	4.0
197	AD	DEG	ACVR2B	1.0	4.0
198	AD	DEG	ACVRL1	1.0	3.0
199	AD	DEG	ACYP1	-0.2	5.0
200	AD	DEG	ACYP2	-0.3333333333333333	6.0
201	AD	DEG	ADA	1.0	4.0
202	AD	DEG	ADA2	1.0	3.0
203	AD	DEG	ADAD1	1.0	3.0
204	AD	DEG	ADAL	1.0	5.0
205	AD	DEG	ADAM10	0.2	5.0
206	AD	DEG	ADAM11	-1.0	8.0
207	AD	DEG	ADAM12	-0.5555555555555556	9.0
208	AD	DEG	ADAM15	0.3333333333333333	3.0
209	AD	DEG	ADAM17	0.3333333333333333	6.0
210	AD	DEG	ADAM18	1.0	2.0
211	AD	DEG	ADAM19	-0.2	5.0
212	AD	DEG	ADAM20	1.0	2.0
213	AD	DEG	ADAM22	-0.3333333333333333	6.0
214	AD	DEG	ADAM23	-0.4545454545454545	11.0
215	AD	DEG	ADAM28	0.0	2.0
216	AD	DEG	ADAM29	1.0	3.0
217	AD	DEG	ADAM32	0.0	2.0
218	AD	DEG	ADAM33	1.0	9.0
219	AD	DEG	ADAM8	1.0	3.0
220	AD	DEG	ADAM9	-0.2	5.0
221	AD	DEG	ADAMTS1	0.3333333333333333	6.0
222	AD	DEG	ADAMTS10	0.2	5.0
223	AD	DEG	ADAMTS12	-0.5	4.0
224	AD	DEG	ADAMTS13	0.0	4.0
225	AD	DEG	ADAMTS15	1.0	2.0
226	AD	DEG	ADAMTS16	-0.5	4.0
227	AD	DEG	ADAMTS17	1.0	7.0
228	AD	DEG	ADAMTS18	0.3333333333333333	3.0
229	AD	DEG	ADAMTS19	0.3333333333333333	3.0
230	AD	DEG	ADAMTS2	0.7777777777777778	9.0
231	AD	DEG	ADAMTS20	1.0	3.0
232	AD	DEG	ADAMTS3	-1.0	2.0
233	AD	DEG	ADAMTS4	1.0	4.0
234	AD	DEG	ADAMTS5	-0.5	4.0
235	AD	DEG	ADAMTS6	0.2	5.0
236	AD	DEG	ADAMTS8	-0.2	10.0
237	AD	DEG	ADAMTS9	0.6666666666666666	6.0
238	AD	DEG	ADAMTSL1	-0.2	5.0
239	AD	DEG	ADAMTSL2	-0.2	5.0
240	AD	DEG	ADAMTSL3	0.0	6.0
241	AD	DEG	ADAMTSL4	1.0	5.0
242	AD	DEG	ADAMTSL5	0.5	4.0
243	AD	DEG	ADAP2	0.5	4.0
244	AD	DEG	ADAR	-1.0	6.0
245	AD	DEG	ADARB1	-0.6	10.0
246	AD	DEG	ADARB2	0.3333333333333333	3.0
247	AD	DEG	ADAT1	0.3333333333333333	3.0
248	AD	DEG	ADAT2	-0.6666666666666666	6.0
249	AD	DEG	ADAT3	1.0	2.0
250	AD	DEG	ADCK1	0.0	4.0
251	AD	DEG	ADCK2	-0.5	4.0
252	AD	DEG	ADCK5	-0.6	5.0
253	AD	DEG	ADCY1	-0.1428571428571428	7.0
254	AD	DEG	ADCY10	0.3333333333333333	3.0
255	AD	DEG	ADCY2	0.0	8.0
256	AD	DEG	ADCY3	-0.25	8.0
257	AD	DEG	ADCY4	1.0	4.0
258	AD	DEG	ADCY5	-0.1428571428571428	7.0
259	AD	DEG	ADCY6	0.0	2.0
260	AD	DEG	ADCY7	0.3333333333333333	3.0
261	AD	DEG	ADCY8	0.5	4.0
262	AD	DEG	ADCY9	-0.3333333333333333	6.0
263	AD	DEG	ADCYAP1	-0.8	10.0
264	AD	DEG	ADCYAP1R1	0.4	10.0
265	AD	DEG	ADD1	0.0	6.0
266	AD	DEG	ADD2	-0.7777777777777778	9.0
267	AD	DEG	ADD3	0.2307692307692307	13.0
268	AD	DEG	ADGB	1.0	2.0
269	AD	DEG	ADGRA1	-0.7777777777777778	9.0
270	AD	DEG	ADGRA2	0.3333333333333333	3.0
271	AD	DEG	ADGRA3	0.75	8.0
272	AD	DEG	ADGRB1	0.0	4.0
273	AD	DEG	ADGRB2	-0.7777777777777778	9.0
274	AD	DEG	ADGRB3	-1.0	6.0
275	AD	DEG	ADGRD1	1.0	2.0
276	AD	DEG	ADGRE1	1.0	3.0
277	AD	DEG	ADGRE2	1.0	7.0
278	AD	DEG	ADGRE3	1.0	3.0
279	AD	DEG	ADGRE5	-0.3333333333333333	3.0
280	AD	DEG	ADGRF3	0.0	2.0
281	AD	DEG	ADGRF5	0.3333333333333333	3.0
282	AD	DEG	ADGRG1	0.4285714285714285	7.0
283	AD	DEG	ADGRG6	-0.3333333333333333	3.0
284	AD	DEG	ADGRL1	-0.1428571428571428	7.0
285	AD	DEG	ADGRL2	-1.0	5.0
286	AD	DEG	ADGRL3	-0.6	5.0
287	AD	DEG	ADGRL4	1.0	3.0
288	AD	DEG	ADGRV1	0.3333333333333333	6.0
289	AD	DEG	ADH1B	0.3333333333333333	3.0
290	AD	DEG	ADH4	1.0	2.0
291	AD	DEG	ADH5	-0.7777777777777778	9.0
292	AD	DEG	ADH6	1.0	2.0
293	AD	DEG	ADHFE1	0.6	5.0
294	AD	DEG	ADI1	0.2	5.0
295	AD	DEG	ADIG	-1.0	2.0
296	AD	DEG	ADIPOR1	-0.4285714285714285	7.0
297	AD	DEG	ADIPOR2	0.4285714285714285	7.0
298	AD	DEG	ADIRF	0.6	5.0
299	AD	DEG	ADK	-0.4285714285714285	7.0
300	AD	DEG	ADM	0.3333333333333333	3.0
301	AD	DEG	ADM5	-0.3333333333333333	3.0
302	AD	DEG	ADNP	-0.6	5.0
303	AD	DEG	ADNP2	0.0	4.0
304	AD	DEG	ADO	-0.3333333333333333	3.0
305	AD	DEG	ADORA1	-0.3333333333333333	6.0
306	AD	DEG	ADORA2B	1.0	3.0
307	AD	DEG	ADORA3	1.0	6.0
308	AD	DEG	ADPGK	-0.3333333333333333	6.0
309	AD	DEG	ADPRH	1.0	3.0
310	AD	DEG	ADPRHL1	-1.0	2.0
311	AD	DEG	ADPRM	0.0	2.0
312	AD	DEG	ADRA1A	-0.2	5.0
313	AD	DEG	ADRA1B	-0.6666666666666666	6.0
314	AD	DEG	ADRA1D	-0.5	4.0
315	AD	DEG	ADRA2A	-0.5	4.0
316	AD	DEG	ADRA2B	0.0	2.0
317	AD	DEG	ADRA2C	0.6666666666666666	6.0
318	AD	DEG	ADRB1	0.2	5.0
319	AD	DEG	ADRB2	1.0	4.0
320	AD	DEG	ADRM1	-0.25	8.0
321	AD	DEG	ADSL	1.0	2.0
322	AD	DEG	ADSS2	-1.0	3.0
323	AD	DEG	ADTRP	-0.3333333333333333	6.0
324	AD	DEG	AEBP1	0.7777777777777778	9.0
325	AD	DEG	AEBP2	0.1428571428571428	7.0
326	AD	DEG	AEN	0.5	4.0
327	AD	DEG	AFAP1	1.0	5.0
328	AD	DEG	AFAP1L1	1.0	2.0
329	AD	DEG	AFAP1L2	0.3333333333333333	3.0
330	AD	DEG	AFDN	0.3333333333333333	3.0
331	AD	DEG	AFF1	0.7777777777777778	9.0
332	AD	DEG	AFF2	-0.7142857142857143	7.0
333	AD	DEG	AFF3	-0.3333333333333333	6.0
334	AD	DEG	AFF4	0.6	5.0
335	AD	DEG	AFG3L2	0.2	5.0
336	AD	DEG	AFMID	0.3333333333333333	3.0
337	AD	DEG	AFP	-1.0	2.0
338	AD	DEG	AFTPH	0.1428571428571428	7.0
339	AD	DEG	AGA	0.0	2.0
340	AD	DEG	AGAP1	1.0	6.0
341	AD	DEG	AGAP2	0.0	4.0
342	AD	DEG	AGAP3	0.0	4.0
343	AD	DEG	AGAP4	1.0	2.0
344	AD	DEG	AGAP6	0.0	2.0
345	AD	DEG	AGBL1	-0.6	5.0
346	AD	DEG	AGBL2	-0.2	5.0
347	AD	DEG	AGBL4	-0.2	5.0
348	AD	DEG	AGBL5	0.1428571428571428	7.0
349	AD	DEG	AGER	0.3333333333333333	3.0
350	AD	DEG	AGFG1	0.2	5.0
351	AD	DEG	AGFG2	0.6363636363636364	11.0
352	AD	DEG	AGGF1	0.0	6.0
353	AD	DEG	AGK	-0.5384615384615384	13.0
354	AD	DEG	AGL	-0.4285714285714285	7.0
355	AD	DEG	AGMAT	0.0	2.0
356	AD	DEG	AGMO	-1.0	2.0
357	AD	DEG	AGO1	0.3333333333333333	3.0
358	AD	DEG	AGO2	0.8	10.0
359	AD	DEG	AGO3	0.6	10.0
360	AD	DEG	AGO4	0.6666666666666666	6.0
361	AD	DEG	AGPAT1	-0.7142857142857143	7.0
362	AD	DEG	AGPAT2	0.3333333333333333	3.0
363	AD	DEG	AGPAT3	1.0	7.0
364	AD	DEG	AGPAT4	-0.25	8.0
365	AD	DEG	AGPAT5	0.5	4.0
366	AD	DEG	AGPS	-0.6666666666666666	6.0
367	AD	DEG	AGR3	1.0	2.0
368	AD	DEG	AGRN	0.3333333333333333	6.0
369	AD	DEG	AGRP	1.0	2.0
370	AD	DEG	AGT	0.8181818181818182	11.0
371	AD	DEG	AGTPBP1	0.2	5.0
372	AD	DEG	AGTRAP	1.0	5.0
373	AD	DEG	AGXT	0.0	2.0
374	AD	DEG	AHCTF1	-0.3333333333333333	6.0
375	AD	DEG	AHCY	1.0	2.0
376	AD	DEG	AHCYL1	0.25	8.0
377	AD	DEG	AHCYL2	0.3333333333333333	9.0
378	AD	DEG	AHDC1	0.5	4.0
379	AD	DEG	AHI1	0.1428571428571428	7.0
380	AD	DEG	AHNAK	0.6666666666666666	12.0
381	AD	DEG	AHNAK2	-0.5	8.0
382	AD	DEG	AHR	0.3333333333333333	3.0
383	AD	DEG	AHRR	-1.0	4.0
384	AD	DEG	AHSA1	0.0	8.0
385	AD	DEG	AHSG	0.0	2.0
386	AD	DEG	AIDA	1.0	6.0
387	AD	DEG	AIF1	1.0	3.0
388	AD	DEG	AIF1L	0.2	5.0
389	AD	DEG	AIFM1	-0.3333333333333333	6.0
390	AD	DEG	AIFM2	0.0	2.0
391	AD	DEG	AIFM3	0.5	4.0
392	AD	DEG	AIG1	-0.5555555555555556	9.0
393	AD	DEG	AIM2	1.0	2.0
394	AD	DEG	AIMP1	0.3333333333333333	3.0
395	AD	DEG	AIMP2	-0.3333333333333333	9.0
396	AD	DEG	AIP	0.2	5.0
397	AD	DEG	AJAP1	0.1111111111111111	9.0
398	AD	DEG	AK1	0.0	4.0
399	AD	DEG	AK2	0.5	4.0
400	AD	DEG	AK3	0.0	8.0
401	AD	DEG	AK4	0.75	8.0
402	AD	DEG	AK5	-1.0	6.0
403	AD	DEG	AK6	-0.2	5.0
404	AD	DEG	AK7	-0.3333333333333333	3.0
405	AD	DEG	AK8	0.3333333333333333	3.0
406	AD	DEG	AK9	0.6	5.0
407	AD	DEG	AKAP1	0.0	4.0
408	AD	DEG	AKAP10	0.4285714285714285	7.0
409	AD	DEG	AKAP11	-1.0	5.0
410	AD	DEG	AKAP12	0.2	5.0
411	AD	DEG	AKAP13	0.8571428571428571	14.0
412	AD	DEG	AKAP14	-0.6	5.0
413	AD	DEG	AKAP17A	1.0	3.0
414	AD	DEG	AKAP5	-0.7142857142857143	7.0
415	AD	DEG	AKAP6	-0.7777777777777778	9.0
416	AD	DEG	AKAP7	0.0	6.0
417	AD	DEG	AKAP8	1.0	4.0
418	AD	DEG	AKAP8L	0.75	8.0
419	AD	DEG	AKAP9	-0.6666666666666666	6.0
420	AD	DEG	AKIP1	0.3333333333333333	3.0
421	AD	DEG	AKIRIN1	-0.3333333333333333	3.0
422	AD	DEG	AKIRIN2	-0.3333333333333333	6.0
423	AD	DEG	AKNA	0.5555555555555556	9.0
424	AD	DEG	AKR1A1	-0.3333333333333333	6.0
425	AD	DEG	AKR1B1	-0.6	5.0
426	AD	DEG	AKR1C1	0.3333333333333333	3.0
427	AD	DEG	AKR1C2	0.3333333333333333	3.0
428	AD	DEG	AKR1C3	1.0	6.0
429	AD	DEG	AKR1C4	1.0	2.0
430	AD	DEG	AKR1E2	1.0	3.0
431	AD	DEG	AKR7A2	-0.3333333333333333	6.0
432	AD	DEG	AKR7A3	0.0	4.0
433	AD	DEG	AKT1	0.0	4.0
434	AD	DEG	AKT1S1	0.3333333333333333	3.0
435	AD	DEG	AKT2	0.4285714285714285	7.0
436	AD	DEG	AKT3	-0.1428571428571428	7.0
437	AD	DEG	AKTIP	-0.3333333333333333	6.0
438	AD	DEG	ALAD	1.0	5.0
439	AD	DEG	ALAS1	-0.75	8.0
440	AD	DEG	ALAS2	1.0	2.0
441	AD	DEG	ALCAM	-1.0	3.0
442	AD	DEG	ALDH16A1	-0.3333333333333333	3.0
443	AD	DEG	ALDH18A1	0.0	4.0
444	AD	DEG	ALDH1A1	-0.2	10.0
445	AD	DEG	ALDH1A2	0.0	2.0
446	AD	DEG	ALDH1A3	0.0	2.0
447	AD	DEG	ALDH1L1	0.5	4.0
448	AD	DEG	ALDH1L2	0.0	6.0
449	AD	DEG	ALDH2	0.6666666666666666	6.0
450	AD	DEG	ALDH3A1	-0.3333333333333333	3.0
451	AD	DEG	ALDH3A2	-0.7142857142857143	7.0
452	AD	DEG	ALDH3B1	0.5	4.0
453	AD	DEG	ALDH3B2	-1.0	2.0
454	AD	DEG	ALDH4A1	1.0	4.0
455	AD	DEG	ALDH5A1	0.1428571428571428	7.0
456	AD	DEG	ALDH6A1	0.5	8.0
457	AD	DEG	ALDH7A1	0.6666666666666666	6.0
458	AD	DEG	ALDH8A1	0.3333333333333333	3.0
459	AD	DEG	ALDH9A1	-0.3333333333333333	3.0
460	AD	DEG	ALDOA	1.0	2.0
461	AD	DEG	ALDOC	-1.0	2.0
462	AD	DEG	ALG1	0.0	2.0
463	AD	DEG	ALG10	1.0	2.0
464	AD	DEG	ALG10B	-0.3333333333333333	3.0
465	AD	DEG	ALG12	1.0	2.0
466	AD	DEG	ALG13	0.5	4.0
467	AD	DEG	ALG14	0.3333333333333333	3.0
468	AD	DEG	ALG2	-0.3333333333333333	3.0
469	AD	DEG	ALG3	0.0	6.0
470	AD	DEG	ALG5	-0.5	4.0
471	AD	DEG	ALG6	-0.6	5.0
472	AD	DEG	ALG8	-0.25	8.0
473	AD	DEG	ALG9	-0.6	5.0
474	AD	DEG	ALK	1.0	4.0
475	AD	DEG	ALKBH1	-0.5	4.0
476	AD	DEG	ALKBH2	1.0	2.0
477	AD	DEG	ALKBH3	-0.75	8.0
478	AD	DEG	ALKBH4	0.5	4.0
479	AD	DEG	ALKBH5	-0.3333333333333333	6.0
480	AD	DEG	ALKBH6	-0.3333333333333333	6.0
481	AD	DEG	ALKBH7	-0.2	5.0
482	AD	DEG	ALKBH8	0.2	5.0
483	AD	DEG	ALLC	0.0	2.0
484	AD	DEG	ALMS1	1.0	9.0
485	AD	DEG	ALOX12	1.0	2.0
486	AD	DEG	ALOX12B	-0.6	5.0
487	AD	DEG	ALOX15B	1.0	8.0
488	AD	DEG	ALOX5	0.4285714285714285	7.0
489	AD	DEG	ALOX5AP	0.2	5.0
490	AD	DEG	ALPK1	0.4285714285714285	7.0
491	AD	DEG	ALPK2	0.3333333333333333	3.0
492	AD	DEG	ALPK3	0.3333333333333333	3.0
493	AD	DEG	ALPL	1.0	4.0
494	AD	DEG	ALS2	-0.4285714285714285	7.0
495	AD	DEG	ALS2CL	1.0	2.0
496	AD	DEG	ALX3	0.0	2.0
497	AD	DEG	ALYREF	-1.0	4.0
498	AD	DEG	AMACR	-1.0	5.0
499	AD	DEG	AMBP	1.0	2.0
500	AD	DEG	AMBRA1	0.6	5.0
501	AD	DEG	AMD1	-0.3333333333333333	6.0
502	AD	DEG	AMDHD1	0.0	4.0
503	AD	DEG	AMDHD2	-1.0	2.0
504	AD	DEG	AMER1	0.0	4.0
505	AD	DEG	AMER2	0.5555555555555556	9.0
506	AD	DEG	AMER3	-0.7142857142857143	7.0
507	AD	DEG	AMFR	-0.6	5.0
508	AD	DEG	AMH	-0.3333333333333333	3.0
509	AD	DEG	AMHR2	1.0	2.0
510	AD	DEG	AMIGO1	-1.0	7.0
511	AD	DEG	AMMECR1	-0.6	5.0
512	AD	DEG	AMMECR1L	1.0	3.0
513	AD	DEG	AMN1	-0.3333333333333333	6.0
514	AD	DEG	AMOT	0.2	5.0
515	AD	DEG	AMOTL1	0.4285714285714285	7.0
516	AD	DEG	AMOTL2	0.2	5.0
517	AD	DEG	AMPD2	0.0	4.0
518	AD	DEG	AMPD3	0.0	2.0
519	AD	DEG	AMPH	-1.0	7.0
520	AD	DEG	AMT	0.6	5.0
521	AD	DEG	AMY2B	1.0	2.0
522	AD	DEG	AMZ1	0.2	5.0
523	AD	DEG	AMZ2	-0.5	4.0
524	AD	DEG	ANAPC1	-0.6666666666666666	12.0
525	AD	DEG	ANAPC10	-1.0	7.0
526	AD	DEG	ANAPC11	0.5	4.0
527	AD	DEG	ANAPC13	-0.5	8.0
528	AD	DEG	ANAPC15	-0.2	5.0
529	AD	DEG	ANAPC16	1.0	9.0
530	AD	DEG	ANAPC2	0.3333333333333333	3.0
531	AD	DEG	ANAPC4	0.3333333333333333	3.0
532	AD	DEG	ANAPC5	-0.1428571428571428	7.0
533	AD	DEG	ANAPC7	-0.3333333333333333	6.0
534	AD	DEG	ANG	1.0	3.0
535	AD	DEG	ANGEL1	0.3333333333333333	3.0
536	AD	DEG	ANGEL2	-0.5	4.0
537	AD	DEG	ANGPT1	0.2	10.0
538	AD	DEG	ANGPT2	1.0	8.0
539	AD	DEG	ANGPTL1	1.0	2.0
540	AD	DEG	ANGPTL4	1.0	3.0
541	AD	DEG	ANGPTL6	0.0	2.0
542	AD	DEG	ANGPTL7	-0.3333333333333333	3.0
543	AD	DEG	ANGPTL8	0.0	2.0
544	AD	DEG	ANK1	0.6	5.0
545	AD	DEG	ANK2	-0.6666666666666666	6.0
546	AD	DEG	ANK3	-0.3333333333333333	6.0
547	AD	DEG	ANKAR	0.6	5.0
548	AD	DEG	ANKDD1A	0.75	8.0
549	AD	DEG	ANKDD1B	0.0	2.0
550	AD	DEG	ANKFN1	0.2	5.0
551	AD	DEG	ANKFY1	0.4285714285714285	7.0
552	AD	DEG	ANKH	0.0	10.0
