community,pathway,hubness in community,curated category
1,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL,0.002306496,Signaling molecules and interaction
1,REACTOME_MINERALOCORTICOID_BIOSYNTHESIS,0.000628035,Immune system
1,REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,0.001203383,Signal transduction
1,REACTOME_METABOLISM_OF_STEROID_HORMONES,0.002847557,Signaling molecules and interaction
1,REACTOME_PREGNENOLONE_BIOSYNTHESIS,0.00086106,Cell growth and death
1,REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,0.000622381,Cell growth and death
1,REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,0.000466318,Cell growth and death
1,REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,0.000305796,"Folding, sorting and degradation"
1,REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM,0.000617486,"Folding, sorting and degradation"
1,REACTOME_NICOTINATE_METABOLISM,0.00045785,Transport and catabolism
1,REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM,5.09E-05,Transport and catabolism
1,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.001900842,Transport and catabolism
1,REACTOME_NICOTINAMIDE_SALVAGING,0.000459731,Transport and catabolism
1,REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,0.000474927,Signal transduction
1,REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES,0.000700402,Cell growth and death
1,REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS,0.000219731,Circulatory system
1,REACTOME_THYROXINE_BIOSYNTHESIS,0.000390933,Circulatory system
1,REACTOME_VITAMINS,0.001251245,Signal transduction
1,REACTOME_FATTY_ACIDS,0.00333454,Development and regeneration
1,REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,0.013991031,Signal transduction
1,REACTOME_MISCELLANEOUS_SUBSTRATES,0.002615864,Signal transduction
1,REACTOME_EICOSANOIDS,0.002608899,Signal transduction
1,REACTOME_CYP2E1_REACTIONS,0.002777833,Development and regeneration
1,REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET,0.001839903,Signal transduction
1,REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS,0.000475419,Cellular community - eukaryotes
1,REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX,0.001895396,Signaling molecules and interaction
1,REACTOME_SYNTHESIS_OF_LIPOXINS_LX,0.000449141,Signaling molecules and interaction
1,REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES,0.000552022,Cellular community - eukaryotes
1,REACTOME_ARACHIDONIC_ACID_METABOLISM,0.005139366,Cellular community - eukaryotes
1,REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES,0.000509409,Cellular community - eukaryotes
1,REACTOME_UBIQUINOL_BIOSYNTHESIS,0.000194951,Immune system
1,REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE,0.002326319,Immune system
1,REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,0.001402008,Endocrine system
1,REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION,0.000127036,Immune system
1,REACTOME_METABOLISM_OF_INGESTED_SEMET_SEC_MESEC_INTO_H2SE,0.00020213,Immune system
1,REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION,0.000829108,Immune system
1,REACTOME_DISEASES_ASSOCIATED_WITH_VISUAL_TRANSDUCTION,0.000241809,Immune system
1,REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM,0.000610553,Signal transduction
1,REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,0.000796688,Immune system
1,REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,0.001853171,Immune system
1,REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM,0.000259325,Immune system
1,REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,0.000360352,Immune system
1,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,0.001359989,Immune system
1,REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA,0.000593421,Immune system
1,REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,0.000522368,Immune system
1,REACTOME_SYNTHESIS_OF_DOLICHYL_PHOSPHATE,7.67E-05,Immune system
1,REACTOME_SIGNALING_BY_RETINOIC_ACID,0.002277378,Environmental adaptation
1,REACTOME_RA_BIOSYNTHESIS_PATHWAY,0.001989671,Nervous system
1,REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,0.001284026,Nervous system
1,REACTOME_METABOLISM_OF_LIPIDS,0.00804276,Nervous system
1,REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,0.004012225,Sensory system
1,REACTOME_TP53_REGULATES_METABOLIC_GENES,0.003384493,Sensory system
1,REACTOME_FRUCTOSE_METABOLISM,0.000245848,Cell motility
1,REACTOME_FORMATION_OF_XYLULOSE_5_PHOSPHATE,0.000272324,Endocrine system
1,REACTOME_MELANIN_BIOSYNTHESIS,0.000145904,Endocrine system
1,REACTOME_DISEASES_OF_METABOLISM,0.003692543,Endocrine system
1,REACTOME_PROTEIN_REPAIR,0.000180912,Endocrine system
1,REACTOME_CHOLINE_CATABOLISM,0.000190913,Endocrine system
1,REACTOME_COMPLEX_I_BIOGENESIS,0.014697007,Endocrine and metabolic disease
1,REACTOME_FRUCTOSE_CATABOLISM,0.0001044,Endocrine and metabolic disease
1,REACTOME_UREA_CYCLE,3.98E-05,Endocrine and metabolic disease
1,REACTOME_HISTIDINE_CATABOLISM,6.46E-05,Excretory system
1,REACTOME_PROPIONYL_COA_CATABOLISM,0.000183214,Excretory system
1,REACTOME_LYSINE_CATABOLISM,0.000528723,Excretory system
1,REACTOME_DNA_DAMAGE_REVERSAL,0.000263236,Neurodegenerative disease
1,REACTOME_KETONE_BODY_METABOLISM,0.000211682,Neurodegenerative disease
1,REACTOME_SYNTHESIS_OF_KETONE_BODIES,0.000206783,Neurodegenerative disease
1,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS,0.000633216,Neurodegenerative disease
1,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_UNSATURATED_FATTY_ACIDS,0.000415285,Neurodegenerative disease
1,REACTOME_BETA_OXIDATION_OF_LAUROYL_COA_TO_DECANOYL_COA_COA,0.000362735,Infectious disease: bacterial
1,REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA,0.000401569,Infectious disease: bacterial
1,REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA,0.000365337,Infectious disease: bacterial
1,REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA,0.000360783,Infectious disease: parasitic
1,REACTOME_BETA_OXIDATION_OF_BUTANOYL_COA_TO_ACETYL_COA,0.000208928,Cancer: overview
1,REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,0.000203935,Cancer: specific types
1,REACTOME_METABOLISM_OF_STEROIDS,0.005884155,Cancer: specific types
1,REACTOME_TYROSINE_CATABOLISM,0.000188062,Cancer: specific types
1,REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM,0.000383066,Cancer: specific types
1,REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,0.000172898,Cancer: specific types
1,REACTOME_PHENYLALANINE_METABOLISM,0.000249565,Cancer: specific types
1,REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM,0.00024439,Cancer: specific types
1,REACTOME_FATTY_ACID_METABOLISM,0.005952889,Cancer: specific types
1,REACTOME_METABOLISM_OF_COFACTORS,0.000488668,Cancer: specific types
1,REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,0.002236875,Cancer: specific types
1,REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS,0.000447124,Cancer: specific types
1,REACTOME_BIOSYNTHESIS_OF_MARESINS,0.00163307,Cancer: specific types
1,REACTOME_BIOSYNTHESIS_OF_E_SERIES_18_S_RESOLVINS,0.000340931,Cancer: specific types
1,REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS,0.001664987,Cancer: specific types
1,REACTOME_PEROXISOMAL_PROTEIN_IMPORT,0.001976916,Immune disease
1,REACTOME_TYSND1_CLEAVES_PEROXISOMAL_PROTEINS,0.000522159,Immune disease
1,REACTOME_MOLYBDENUM_COFACTOR_BIOSYNTHESIS,0.000137581,Immune disease
1,REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT,0.000221811,Immune disease
1,REACTOME_PROTEIN_LOCALIZATION,0.002129493,Immune disease
1,REACTOME_SERINE_BIOSYNTHESIS,7.53E-05,Immune disease
1,GO_HEMOGLOBIN_METABOLIC_PROCESS,8.91E-05,Cardiovascular disease
1,GO_STEROID_BIOSYNTHETIC_PROCESS,0.005740552,Cardiovascular disease
1,GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.000731834,Cardiovascular disease
1,GO_GLUCOCORTICOID_METABOLIC_PROCESS,0.00138129,Cardiovascular disease
1,GO_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS,0.002212917,Metabolism
1,GO_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME,0.000768796,Metabolism of proteins
1,GO_EXOGENOUS_DRUG_CATABOLIC_PROCESS,0.005019061,Metabolism
1,GO_PEROXISOME_ORGANIZATION,0.002047405,REACTOME_CELL_CYCLE
1,GO_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS,0.000499233,Metabolism
1,GO_C21_STEROID_HORMONE_METABOLIC_PROCESS,0.002961856,REACTOME_PROGRAMMED_CELL_DEATH
1,GO_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY,0.0007145,REACTOME_DNA_REPLICATION
1,GO_RESPONSE_TO_POTASSIUM_ION,0.00042018,REACTOME_METABOLISM_OF_RNA
1,GO_THYROID_HORMONE_METABOLIC_PROCESS,0.000363536,REACTOME_VESICLE_MEDIATED_TRANSPORT
1,GO_TETRAPYRROLE_BIOSYNTHETIC_PROCESS,0.000578146,REACTOME_DNA_REPAIR
1,GO_REGULATION_OF_VITAMIN_METABOLIC_PROCESS,0.00051391,Metabolism
1,GO_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.00073486,Metabolism
1,GO_CELLULAR_RESPIRATION,0.020719201,Metabolism
1,GO_PEPTIDE_METABOLIC_PROCESS,0.00143791,Signal Transduction
1,GO_BIOTIN_METABOLIC_PROCESS,0.000241678,Signal Transduction
1,GO_PTERIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.000471069,REACTOME_METABOLISM_OF_RNA
1,GO_COBALAMIN_METABOLIC_PROCESS,0.00064547,Metabolism
1,GO_S_ADENOSYLMETHIONINE_METABOLIC_PROCESS,0.000208923,Metabolism
1,GO_CELLULAR_HORMONE_METABOLIC_PROCESS,0.005795767,Metabolism
1,GO_CELL_REDOX_HOMEOSTASIS,0.00270216,Signal Transduction
1,GO_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.000852698,REACTOME_DISEASE
1,GO_VITAMIN_D_METABOLIC_PROCESS,0.001524188,Signal Transduction
1,GO_HORMONE_BIOSYNTHETIC_PROCESS,0.004439899,REACTOME_AUTOPHAGY
1,GO_OXYGEN_TRANSPORT,0.001141409,Immune System
1,GO_ANDROGEN_METABOLIC_PROCESS,0.000975798,REACTOME_DEVELOPMENTAL_BIOLOGY
1,GO_RESPONSE_TO_VITAMIN_A,0.000669619,Signal Transduction
1,GO_AMINO_ACID_BETAINE_METABOLIC_PROCESS,0.000330843,Signal Transduction
1,GO_MITOCHONDRION_ORGANIZATION,0.010322299,Immune System
1,GO_PEROXISOMAL_TRANSPORT,0.00210579,Immune System
1,GO_GLUTATHIONE_METABOLIC_PROCESS,0.001685405,REACTOME_AUTOPHAGY
1,GO_PROTEIN_TRANSMEMBRANE_TRANSPORT,0.000350147,Immune System
1,GO_AMINE_CATABOLIC_PROCESS,0.000621509,Metabolism
1,GO_ISOPRENOID_BIOSYNTHETIC_PROCESS,0.000642403,REACTOME_REPRODUCTION
1,GO_COENZYME_CATABOLIC_PROCESS,0.000576688,REACTOME_CELL_CYCLE
1,GO_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS,0.000605923,Signal Transduction
1,GO_PENTOSE_METABOLIC_PROCESS,6.49E-05,REACTOME_DISEASE
1,GO_PYRIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.000759936,Immune System
1,GO_ISOPRENOID_METABOLIC_PROCESS,0.004115596,Metabolism
1,GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS,0.004275148,Metabolism
1,GO_ALCOHOL_CATABOLIC_PROCESS,0.001668486,REACTOME_VESICLE_MEDIATED_TRANSPORT
1,GO_ESTROGEN_METABOLIC_PROCESS,0.000574897,REACTOME_DNA_REPAIR
1,GO_GLYCOSIDE_METABOLIC_PROCESS,0.001440009,Metabolism of proteins
1,GO_STEROID_CATABOLIC_PROCESS,0.002125085,REACTOME_AUTOPHAGY
1,GO_AMINE_BIOSYNTHETIC_PROCESS,0.000453583,Signal Transduction
1,GO_LIPID_HYDROXYLATION,0.001604624,REACTOME_DNA_REPLICATION
1,GO_CELLULAR_BIOGENIC_AMINE_METABOLIC_PROCESS,0.000956581,Metabolism of proteins
1,GO_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS,0.000423984,Metabolism
1,GO_PROGESTERONE_BIOSYNTHETIC_PROCESS,0.000251865,Immune System
1,GO_GLUTATHIONE_CATABOLIC_PROCESS,0.000212929,Immune System
1,GO_RIBOFLAVIN_METABOLIC_PROCESS,5.43E-05,Signal Transduction
1,GO_ISOPRENOID_CATABOLIC_PROCESS,0.000519701,Metabolism
1,GO_RESPONSE_TO_ALUMINUM_ION,0.000184802,Metabolism of proteins
1,GO_POLYAMINE_TRANSPORT,2.48E-05,Immune System
1,GO_COBALAMIN_TRANSPORT,0.000331018,Signal Transduction
1,GO_PEROXISOMAL_MEMBRANE_TRANSPORT,0.000227403,REACTOME_DISEASE
1,GO_ANTIBIOTIC_BIOSYNTHETIC_PROCESS,0.001092672,Immune System
1,GO_ANTIBIOTIC_CATABOLIC_PROCESS,0.002904474,Metabolism of proteins
1,GO_PHENOL_CONTAINING_COMPOUND_CATABOLIC_PROCESS,0.00042551,Signal Transduction
1,GO_ALDITOL_BIOSYNTHETIC_PROCESS,0.00016036,Signal Transduction
1,GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,0.024567406,Signal Transduction
1,GO_MOLYBDOPTERIN_COFACTOR_BIOSYNTHETIC_PROCESS,0.000133177,Signal Transduction
1,GO_TETRAPYRROLE_CATABOLIC_PROCESS,0.000373541,Metabolism
1,GO_S_ADENOSYLMETHIONINE_CYCLE,0.00014682,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
1,GO_CORTISOL_BIOSYNTHETIC_PROCESS,0.00061614,REACTOME_PROTEIN_LOCALIZATION
1,GO_NEUROTRANSMITTER_CATABOLIC_PROCESS,0.000496194,Signal Transduction
1,GO_FAT_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS,0.000838029,Signal Transduction
1,GO_FAT_SOLUBLE_VITAMIN_CATABOLIC_PROCESS,0.001371474,Immune System
1,GO_WATER_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS,0.000257219,Signal Transduction
1,GO_CHOLINE_CATABOLIC_PROCESS,0.000195865,Immune System
1,GO_INDOLE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.000223468,Immune System
1,GO_INDOLE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,0.000485129,REACTOME_GENE_EXPRESSION_TRANSCRIPTION
1,GO_HORMONE_CATABOLIC_PROCESS,0.000466408,Signal Transduction
1,GO_CELLULAR_ALCOHOL_METABOLIC_PROCESS,0.00092296,Signal Transduction
1,GO_GLYCEROL_ETHER_BIOSYNTHETIC_PROCESS,0.000248981,Immune System
1,GO_KETONE_BODY_BIOSYNTHETIC_PROCESS,0.00023852,REACTOME_AUTOPHAGY
1,GO_TESTOSTERONE_BIOSYNTHETIC_PROCESS,0.000665614,Signal Transduction
1,GO_RESPONSE_TO_PROSTAGLANDIN_D,0.000425148,Signal Transduction
1,GO_CELLULAR_LIPID_BIOSYNTHETIC_PROCESS,0.000254061,Signal Transduction
1,GO_SEQUESTERING_OF_IRON_ION,0.000240642,Signal Transduction
1,GO_CELLULAR_RESPONSE_TO_ALDEHYDE,0.000600289,Metabolism
1,GO_XYLULOSE_5_PHOSPHATE_BIOSYNTHETIC_PROCESS,0.000278392,Signal Transduction
1,GO_PRIMARY_AMINO_COMPOUND_BIOSYNTHETIC_PROCESS,0.000198141,Signal Transduction
1,GO_QUINONE_BIOSYNTHETIC_PROCESS,0.000582538,Signal Transduction
1,GO_GLUTATHIONE_DERIVATIVE_BIOSYNTHETIC_PROCESS,0.001424426,Signal Transduction
1,GO_REGULATION_OF_POLYAMINE_TRANSMEMBRANE_TRANSPORT,1.91E-05,Signal Transduction
1,GO_TERTIARY_ALCOHOL_METABOLIC_PROCESS,0.00196695,REACTOME_HEMOSTASIS
1,GO_LONG_CHAIN_FATTY_ACID_BINDING,0.000341548,Signal Transduction
1,GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR,0.002822796,Signal Transduction
1,GO_AMINO_ACID_BINDING,0.001163655,Metabolism
1,GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS,0.004428056,Signal Transduction
1,GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS,0.005335471,Signal Transduction
1,GO_QUINONE_BINDING,0.002261523,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
1,GO_STEROID_DEHYDROGENASE_ACTIVITY,0.003063315,REACTOME_DISEASE
1,GO_CARBOHYDRATE_BINDING,0.000900037,Metabolism
1,GO_FATTY_ACYL_COA_BINDING,0.001062257,Metabolism
1,GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H,0.01749686,Signal Transduction
