	Gene	IndModel.adj.pvals	IndModel.FC	Tissue
91	ATP6V1D	2.28e-146	-0.54572987	Ex
92	SUB1	8.88e-146	-0.399160383	Ex
93	GABARAPL2	1.79e-145	-0.501710124	Ex
94	ZKSCAN1	4.7100000000000006e-144	-0.336906222	Ex
95	TMEM241	2.62e-143	-0.29528247	Ex
96	CISD1	4.79e-143	-0.351636889	Ex
97	NRD1	6.69e-143	-0.315977001	Ex
98	CHCHD10	9.29e-143	-0.330614922	Ex
99	H3F3B	1.32e-142	-0.408831101	Ex
100	CRLF3	1.5599999999999998e-141	-0.396573097	Ex
101	FAM153B	3.85e-141	-0.326229649	Ex
102	TUBA1B	7.15e-141	-0.361891721	Ex
103	DDRGK1	3.3999999999999996e-140	-0.638972702	Ex
104	SAT2	8.15e-140	-0.380653339	Ex
105	CRYM	1.04e-139	-0.453530215	Ex
106	H2AFZ	1.14e-139	-0.450421401	Ex
107	MRPS16	1.47e-139	-0.643706258	Ex
108	FAM153A	8.67e-139	-0.395346553	Ex
109	LDHA	1.0299999999999999e-138	-0.4983445	Ex
110	KCNIP4	1.47e-138	0.253999247	Ex
111	ZNF565	3.86e-138	-0.476556185	Ex
112	SAT1	5.809999999999999e-138	-0.515469392	Ex
113	MRPS21	9.619999999999999e-138	-0.381403883	Ex
114	NDUFA5	4.57e-137	-0.472206787	Ex
115	MTRNR2L1	1.2099999999999999e-136	2.110967829	Ex
116	OCIAD1	3.6399999999999996e-136	-0.280159539	Ex
117	SRPK1	8.93e-136	-0.326190006	Ex
118	TAF15	9.749999999999999e-136	-0.255224659	Ex
119	EML6	1.04e-135	-0.241614043	Ex
120	RPS14	3.67e-135	-0.41268366	Ex
121	SF1	7.009999999999999e-135	-0.312547836	Ex
122	TMEM160	9.13e-135	-0.418224969	Ex
123	DLG2	1.8599999999999998e-134	0.262000918	Ex
124	PDE5A	9.139999999999999e-134	-0.52039571	Ex
125	HSD17B12	9.969999999999999e-134	-0.336151416	Ex
126	IDH2	1.33e-133	-0.650817754	Ex
127	ATP6V1G1	5.33e-133	-0.408924042	Ex
128	TOM1L1	6.8800000000000006e-133	-0.456391562	Ex
129	MLIP	7.56e-132	-0.231294259	Ex
130	COX6C	7.72e-132	-0.401998322	Ex
131	COX5B	9.58e-132	-0.379201889	Ex
132	SPATA7	1.89e-131	-0.302239996	Ex
133	UBE2V2	2.28e-131	-0.376997318	Ex
134	EIF1B	3.42e-131	-0.411748033	Ex
135	SPDYE2	8.1e-131	-0.818819815	Ex
136	YWHAH	1.19e-130	-0.286612043	Ex
137	ATP5G1	1.35e-130	-0.489724183	Ex
138	AP3S1	1.4900000000000001e-130	-0.35535015	Ex
139	GLMN	1.7700000000000002e-129	-0.36490594	Ex
140	BRK1	2.38e-129	-0.415437703	Ex
141	HAGH	2.6700000000000002e-129	-0.343886238	Ex
142	SLC25A3	5.21e-129	-0.333277234	Ex
143	ZNF302	5.83e-129	-0.407305982	Ex
144	RALYL	1.23e-128	0.283332446	Ex
145	SPDYE3	2.5399999999999997e-128	-0.709075867	Ex
146	CHGB	3e-128	-0.451528886	Ex
147	SLC25A6	4.24e-128	-0.364961254	Ex
148	HSPA8	4.909999999999999e-128	-0.615264254	Ex
149	ATP5J	1.63e-127	-0.438027187	Ex
150	SUMF1	6.11e-127	-0.26679166	Ex
151	RASGRF1	7.44e-127	-0.295193317	Ex
152	GNG3	1.0599999999999999e-126	-0.333644272	Ex
153	SYT1	1.1999999999999999e-126	0.185392722	Ex
154	SRSF5	2.64e-126	-0.300380569	Ex
155	GOT1	4.61e-126	-0.466629608	Ex
156	LDHB	3.3200000000000003e-125	-0.451127937	Ex
157	RPL10A	3.4100000000000004e-125	-0.534224618	Ex
158	PSMD7	3.4100000000000004e-125	-0.462484853	Ex
159	CSTB	3.68e-125	-0.490489361	Ex
160	TCEAL5	3.7700000000000003e-125	-0.652940245	Ex
161	TDG	4.920000000000001e-125	-0.570314021	Ex
162	RAN	5.99e-125	-0.417005589	Ex
163	ACTR2	1.2900000000000002e-124	-0.295570897	Ex
164	SCAND1	1.73e-124	-0.58842233	Ex
165	PRDM2	2.35e-124	-0.214617421	Ex
166	ZSCAN18	1.2400000000000001e-123	-0.452983622	Ex
167	ASAH1	1.36e-123	-0.467674465	Ex
168	MED10	3.1800000000000005e-123	-0.472139465	Ex
169	TCF25	6.9e-123	-0.211347283	Ex
170	DSTN	1.1100000000000001e-122	-0.304342911	Ex
171	RPL10	1.1200000000000001e-122	-0.395781573	Ex
172	CCNI	1.1300000000000001e-122	-0.253156475	Ex
173	C11orf58	1.3000000000000001e-122	-0.259325331	Ex
174	CYCS	1.74e-122	-0.418237219	Ex
175	NDUFS1	2.46e-122	-0.271770173	Ex
176	SLC39A10	1.12e-121	-0.21097336	Ex
177	PGAM1	1.72e-121	-0.282439828	Ex
178	UQCR10	2.62e-121	-0.426672708	Ex
179	SRSF7	2.8e-121	-0.324311302	Ex
180	EIF4A2	5.3000000000000005e-121	-0.282474347	Ex
181	COX7C	1.06e-120	-0.261298868	Ex
182	ARL17B	1.31e-120	-0.405774226	Ex
183	HGSNAT	1.35e-120	-0.375796703	Ex
184	CCDC91	3.38e-120	-0.223362569	Ex
185	TM7SF3	3.88e-120	-0.399753351	Ex
186	SCPEP1	9.219999999999999e-120	-0.446319684	Ex
187	CHD6	9.68e-120	-0.204485854	Ex
188	CRBN	1.18e-119	-0.352283912	Ex
189	ENY2	1.42e-119	-0.463394484	Ex
190	GRIN1	8.02e-119	0.603411595	Ex
191	MRFAP1	8.549999999999999e-119	-0.344924149	Ex
192	WDR60	2.72e-118	-0.226963188	Ex
193	CLTA	3.02e-118	-0.361337946	Ex
194	GADD45GIP1	7.19e-118	-0.573727596	Ex
195	TBRG1	9.83e-118	-0.21926384	Ex
196	ACSL3	1.79e-117	-0.25290918	Ex
197	HPCA	3.5200000000000004e-117	-0.432040854	Ex
198	DNM1L	3.75e-117	-0.262772707	Ex
199	CAMK2G	3.93e-117	-0.240352607	Ex
200	ATP5G2	4.14e-117	-0.379876208	Ex
201	LAMTOR5	9.730000000000001e-117	-0.490111436	Ex
202	ZNF428	2.8100000000000003e-116	-0.428691921	Ex
203	RPL14	3.1e-116	-0.273946277	Ex
204	MAST4	4.1100000000000003e-116	-0.216623965	Ex
205	GPI	8.42e-116	-0.274046863	Ex
206	MYO6	1.32e-115	-0.244175037	Ex
207	MED31	1.37e-115	-0.456693508	Ex
208	SFXN5	2.18e-115	-0.222509954	Ex
209	TERF2IP	2.38e-115	-0.247042764	Ex
210	EIF5A	4.189999999999999e-115	-0.231674815	Ex
211	TTLL11	5.44e-115	-0.197959498	Ex
212	RIC3	5.9199999999999995e-115	-0.232131648	Ex
213	ELMO1	7.589999999999999e-115	-0.216209282	Ex
214	ITCH	1.38e-114	-0.205676103	Ex
215	RNPS1	1.4999999999999999e-114	-0.261944004	Ex
216	SCAI	1.5999999999999999e-114	-0.214658797	Ex
217	ATP1A1	1.61e-114	-0.257046632	Ex
218	EPHB1	2.23e-114	-0.241903504	Ex
219	GNB5	4.34e-114	-0.241187375	Ex
220	RPS4X	6.08e-114	-0.474828604	Ex
221	STMN4	1.06e-113	-0.29617199	Ex
222	XRRA1	1.3199999999999999e-113	-0.27425496	Ex
223	MTDH	3.25e-113	-0.241309727	Ex
224	PRMT8	4.97e-113	-0.329397798	Ex
225	OSBPL1A	4.97e-113	-0.198304822	Ex
226	PSMB7	5.1199999999999997e-113	-0.436475479	Ex
227	SYTL2	2.23e-112	-0.16651148	Ex
228	IBTK	4.61e-112	-0.193809423	Ex
229	KLHL32	6.29e-112	-0.188575253	Ex
230	KIAA0319L	8.57e-112	-0.249521344	Ex
231	EIF3K	1.99e-111	-0.469113009	Ex
232	CAP2	2.48e-111	-0.219506875	Ex
233	TOX4	9.509999999999999e-111	-0.439388015	Ex
234	PRDX1	9.57e-111	-0.458779062	Ex
235	TTC1	1.1700000000000001e-110	-0.277145117	Ex
236	SLC25A37	1.78e-110	-0.291257847	Ex
237	CCDC65	2.04e-110	-0.637694232	Ex
238	ZBBX	2.1e-110	-0.321821128	Ex
239	NDUFV1	2.76e-110	-0.316117182	Ex
240	TMEM14A	6.73e-110	-0.346944464	Ex
241	RAB6A	7.040000000000001e-110	-0.21464926	Ex
242	TRAPPC13	8.300000000000001e-110	-0.38105929	Ex
243	SRSF10	8.570000000000001e-110	-0.305396105	Ex
244	VPS8	1.47e-109	-0.244130689	Ex
245	MICU2	1.6300000000000001e-109	-0.239402602	Ex
246	FLOT1	1.69e-109	-0.284702656	Ex
247	PPIA	2.25e-109	-0.279870222	Ex
248	PAFAH1B1	2.77e-109	-0.21607823	Ex
249	FAM127A	2.98e-109	-0.284830109	Ex
250	ATP2A2	3.43e-109	-0.227018267	Ex
251	XRCC6	4.4e-109	-0.325839464	Ex
252	MAX	5.96e-109	-0.32963858	Ex
253	GSTA4	7.52e-109	-0.267321113	Ex
254	BTF3	1.04e-108	-0.422261926	Ex
255	FBXO16	1.53e-108	-0.203851754	Ex
256	PKNOX2	1.95e-108	-0.143473361	Ex
257	CATSPER2	1.95e-108	-0.171509437	Ex
258	NBAS	2.89e-108	-0.153142576	Ex
259	ATP1B1	5.26e-108	-0.262856873	Ex
260	TAGLN3	7.1e-108	-0.257920978	Ex
261	ATP1B3	9.599999999999999e-108	-0.373576404	Ex
262	DYNC1H1	1.09e-107	-0.216680889	Ex
263	HMP19	1.13e-107	-0.275815517	Ex
264	GGT7	1.5000000000000002e-107	-0.193657788	Ex
265	CLTC	2.51e-107	-0.237605038	Ex
266	CHCHD3	2.94e-107	-0.14306957	Ex
267	ANAPC5	3.19e-107	-0.248956405	Ex
268	COPS6	3.33e-107	-0.428290232	Ex
269	MTR	3.44e-107	-0.354475259	Ex
270	WDR37	4.06e-107	-0.257903574	Ex
271	VWA3A	4.1e-107	-0.30688995	Ex
272	NEUROD6	4.22e-107	-0.609632838	Ex
273	EDF1	4.83e-107	-0.240813399	Ex
274	MYL12B	7.36e-107	-0.452732177	Ex
275	CRHR1	7.46e-107	-0.191635763	Ex
276	COX5A	8.040000000000001e-107	-0.560110839	Ex
277	PFDN2	8.780000000000001e-107	-0.296248019	Ex
278	MTRNR2L12	9.36e-107	1.544824497	Ex
279	NAA20	1.13e-106	-0.561531259	Ex
280	PRDX5	1.25e-106	-0.444689124	Ex
281	ATP5A1	1.51e-106	-0.309821657	Ex
282	TAX1BP1	1.7599999999999999e-106	-0.163639724	Ex
283	FUS	1.82e-106	-0.194941421	Ex
284	UBR3	2.03e-106	-0.179588605	Ex
285	C16orf45	2.49e-106	-0.230330352	Ex
286	PGM2L1	2.73e-106	-0.243563502	Ex
287	ATP6V1E1	3.7399999999999998e-106	-0.261152532	Ex
288	PPA1	3.79e-106	-0.393930918	Ex
289	GARNL3	6.8e-106	-0.166423237	Ex
290	TRAPPC9	8.14e-106	-0.179730094	Ex
291	CCDC12	1.34e-105	-0.487255543	Ex
292	ATG4B	1.62e-105	-0.230961019	Ex
293	C19orf53	1.76e-105	-0.49162932	Ex
294	ATP6V1B2	2.4800000000000003e-105	-0.295980698	Ex
295	PAPD4	3.24e-105	-0.252694462	Ex
296	RECK	3.35e-105	-0.338147859	Ex
297	USP33	3.54e-105	-0.204255567	Ex
298	REPS1	5.21e-105	-0.203658193	Ex
299	PNKD	6.42e-105	-0.275137237	Ex
300	CFAP36	1.3799999999999999e-104	-0.341306242	Ex
301	NAP1L5	1.4699999999999998e-104	-0.520773794	Ex
302	NAP1L1	1.4699999999999998e-104	-0.188731538	Ex
303	NIPAL2	1.58e-104	-0.199028619	Ex
304	ARPC3	1.6999999999999998e-104	-0.446812394	Ex
305	ANXA7	2.16e-104	-0.239714676	Ex
306	PSMC1	2.6499999999999998e-104	-0.413822802	Ex
307	ANO10	2.6499999999999998e-104	-0.26843188	Ex
308	CADM2	4.6199999999999997e-104	0.23714197	Ex
309	ATG10	5.4699999999999995e-104	-0.360246654	Ex
310	RPL36AL	6.16e-104	-0.540990322	Ex
311	RPS27A	7.74e-104	-0.350668516	Ex
312	TM2D3	9.059999999999999e-104	-0.395784966	Ex
313	KIAA1211L	1.3e-103	-0.17388952	Ex
314	PPP1R7	1.34e-103	-0.232678213	Ex
315	SPG11	3.3400000000000004e-103	-0.268110824	Ex
316	CFL1	6.02e-103	-0.255713445	Ex
317	PCMT1	6.79e-103	-0.185342558	Ex
318	SKP1	6.96e-103	-0.261152208	Ex
319	C19orf60	8.830000000000001e-103	-0.305158973	Ex
320	DDX1	9.820000000000001e-103	-0.366936154	Ex
321	CEP192	1.42e-102	-0.234341044	Ex
322	RPL7L1	1.55e-102	-0.385646317	Ex
323	ZRANB3	1.72e-102	-0.250601208	Ex
324	MORF4L2	1.84e-102	-0.243817666	Ex
325	NDUFA10	2.27e-102	-0.140216382	Ex
326	ELP2	2.64e-102	-0.178120374	Ex
327	BAIAP2L2	3.57e-102	-0.525751242	Ex
328	ATL1	4.17e-102	-0.196693	Ex
329	LRTM1	5.74e-102	-0.319001113	Ex
330	ATG7	5.75e-102	-0.13097895	Ex
331	APBB2	6.29e-102	-0.206225897	Ex
332	RPS7	6.4e-102	-0.429809566	Ex
333	XPO4	7.63e-102	-0.292881453	Ex
334	PDK3	7.72e-102	-0.308693289	Ex
335	BRE	3.4e-101	-0.1436807	Ex
336	ATXN10	4.12e-101	-0.139904529	Ex
337	TRIM44	4.65e-101	-0.18018961	Ex
338	CDC14B	5.09e-101	-0.233645869	Ex
339	RPL6	5.61e-101	-0.309288242	Ex
340	INTS10	5.999999999999999e-101	-0.210582483	Ex
341	CDC37	6.14e-101	-0.274285362	Ex
342	FBXO2	6.22e-101	-0.380281255	Ex
343	TXNRD1	9.35e-101	-0.234147821	Ex
344	NAIP	1.1000000000000001e-100	-0.333902154	Ex
345	GPALPP1	1.36e-100	-0.249867085	Ex
346	CKB	1.38e-100	-0.254723569	Ex
347	MAP1LC3A	1.48e-100	-0.391785946	Ex
348	TPI1	1.67e-100	-0.2479473	Ex
349	LUZP1	1.7200000000000001e-100	-0.213232644	Ex
350	ACTL6B	2.03e-100	-0.359279919	Ex
351	DCAF6	2.17e-100	-0.159713385	Ex
352	TBCA	2.74e-100	-0.221379018	Ex
353	SIL1	3.54e-100	-0.120067085	Ex
354	UBR2	3.6900000000000003e-100	-0.163342793	Ex
355	NMNAT2	7.47e-100	-0.196193768	Ex
356	ACOT7	8.69e-100	-0.196820603	Ex
357	BAIAP2L1	1.24e-99	-0.62271522	Ex
358	CCDC24	1.31e-99	-0.499921645	Ex
359	ADRBK2	1.81e-99	-0.13211355	Ex
360	SNRPA1	2.2100000000000002e-99	-0.396555392	Ex
361	CIAO1	2.57e-99	-0.457622803	Ex
362	SARAF	2.99e-99	-0.202945395	Ex
363	NSMAF	3.24e-99	-0.209390812	Ex
364	SERP2	3.97e-99	-0.304707251	Ex
365	COA3	4.91e-99	-0.59615841	Ex
366	OXCT1	6.67e-99	-0.276568455	Ex
367	PPP1R21	7.2600000000000004e-99	-0.186168163	Ex
368	CACNG8	9.03e-99	-0.174467873	Ex
369	SIDT1	9.19e-99	-0.160260905	Ex
370	DYNLRB1	1.19e-98	-0.249546698	Ex
371	FDPS	1.37e-98	-0.358421169	Ex
372	RHEB	1.62e-98	-0.24603339	Ex
373	PRKCA	1.69e-98	-0.173414609	Ex
374	WDR61	1.72e-98	-0.319129824	Ex
375	DIS3L2	2.6499999999999998e-98	-0.220553958	Ex
376	UPF3A	2.84e-98	-0.24060698	Ex
377	SEPT2	3.49e-98	-0.153720014	Ex
378	MEST	3.77e-98	-0.424835434	Ex
379	RPS25	3.84e-98	-0.182158598	Ex
380	NQO2	3.91e-98	-0.209358213	Ex
381	C19orf43	6.12e-98	-0.374596936	Ex
382	ERH	9.34e-98	-0.41628213	Ex
383	RAC1	1.05e-97	-0.197811429	Ex
384	TCEB1	1.57e-97	-0.359443102	Ex
385	RABEPK	1.72e-97	-0.401076044	Ex
386	PCED1B	2.23e-97	-0.535828093	Ex
387	TUBB	2.61e-97	-0.268696914	Ex
388	CLEC16A	2.98e-97	-0.141302881	Ex
389	TSEN2	3.01e-97	-0.281641231	Ex
390	CUTA	4.4000000000000003e-97	-0.53687706	Ex
391	CDC40	5.83e-97	-0.208354299	Ex
392	SLC25A4	6.190000000000001e-97	-0.374186323	Ex
393	PHC3	6.57e-97	-0.179780126	Ex
394	TACC1	8.18e-97	-0.119139107	Ex
395	NOP56	8.45e-97	-0.38141594	Ex
396	ARL6IP5	8.55e-97	-0.256976013	Ex
397	ARL3	8.9e-97	-0.267113484	Ex
398	RPRML	9.07e-97	-0.50365041	Ex
399	TTF1	1.18e-96	-0.359380611	Ex
400	MTF2	1.21e-96	-0.285101851	Ex
401	NOS1AP	1.46e-96	-0.194630645	Ex
402	ATP5F1	2.12e-96	-0.398464838	Ex
403	SNRPD2	3.52e-96	-0.274494382	Ex
404	VEZT	4.6e-96	-0.151764832	Ex
405	PHTF2	5.65e-96	-0.189417418	Ex
406	RPS19	6.35e-96	-0.229482657	Ex
407	APLP2	8.79e-96	-0.228225582	Ex
408	NAPG	9.1e-96	-0.389648709	Ex
409	FAM73A	1.16e-95	-0.192205015	Ex
410	ARGLU1	1.26e-95	-0.178174253	Ex
411	PCCA	1.33e-95	-0.173149202	Ex
412	KIAA1107	1.4299999999999999e-95	-0.166976719	Ex
413	LIPA	1.6599999999999997e-95	-0.217493306	Ex
414	SUMF2	1.69e-95	-0.379670958	Ex
415	VDAC1	1.8199999999999997e-95	-0.293806222	Ex
416	GPRASP1	1.9499999999999998e-95	-0.345375118	Ex
417	MAP3K13	2.14e-95	-0.169135073	Ex
418	MYH10	2.2e-95	-0.129748981	Ex
419	CACNA1D	3.16e-95	-0.14816592	Ex
420	CLASP2	3.2e-95	-0.200089459	Ex
421	RPL8	3.29e-95	-0.383929749	Ex
422	NUMB	3.85e-95	-0.156548686	Ex
423	IFT172	4.64e-95	-0.260962581	Ex
424	ERP29	5.539999999999999e-95	-0.604446332	Ex
425	HEATR5B	5.96e-95	-0.262229235	Ex
426	RPS3	7.49e-95	-0.258962816	Ex
427	NEGR1	7.7e-95	0.276908959	Ex
428	TRMT10B	8.79e-95	-0.590437496	Ex
429	NHLRC3	8.79e-95	-0.432889168	Ex
430	SCG3	9.54e-95	-0.296506039	Ex
431	YWHAQ	1.13e-94	-0.234997023	Ex
432	ARHGEF9	1.1899999999999999e-94	-0.14001784	Ex
433	C5orf45	1.57e-94	-0.322608738	Ex
434	FAM213A	1.6499999999999998e-94	-0.183910227	Ex
435	CALM1	1.8599999999999998e-94	-0.226419806	Ex
436	ARL4A	2.33e-94	-0.41566298	Ex
437	MAMDC2	2.44e-94	-0.229590712	Ex
438	PNCK	2.87e-94	-0.217836853	Ex
439	CRTC3	3.04e-94	-0.194841039	Ex
440	GOPC	3.5e-94	-0.438384679	Ex
441	TPM3	3.64e-94	-0.251580834	Ex
442	HMGXB4	3.91e-94	-0.36583335	Ex
443	PDHX	4.3799999999999997e-94	-0.219344958	Ex
444	AIG1	4.4999999999999997e-94	-0.122443761	Ex
445	SERF2	4.92e-94	-0.218242838	Ex
446	NDUFA8	9.68e-94	-0.371140595	Ex
447	ANO5	1.03e-93	-0.084680122	Ex
448	RPAIN	1.05e-93	-0.316244148	Ex
449	TOM1L2	1.25e-93	-0.157030206	Ex
450	SNX3	1.3e-93	-0.221519658	Ex
451	PINK1	1.7399999999999999e-93	-0.352702238	Ex
452	JAKMIP1	1.88e-93	-0.178995559	Ex
453	SLF1	2.21e-93	-0.18533717	Ex
454	EFR3B	2.23e-93	-0.239095206	Ex
455	SPDYE5	2.37e-93	-0.607051013	Ex
456	DCTN2	4.1e-93	-0.350472643	Ex
457	ZNF821	5.36e-93	-0.313474411	Ex
458	LMBRD1	6.62e-93	-0.183963196	Ex
459	PHKB	6.74e-93	-0.277551472	Ex
460	RPSA	8.26e-93	-0.206550021	Ex
461	NDFIP1	8.59e-93	-0.166629175	Ex
462	RP11-156P1.2	9.579999999999999e-93	-0.259974782	Ex
463	GON4L	1.16e-92	-0.20944985	Ex
464	DYM	1.28e-92	-0.164859534	Ex
465	FNDC3B	1.42e-92	-0.318932955	Ex
466	GABRA1	1.43e-92	-0.207249379	Ex
467	CSTF3	1.45e-92	-0.163258855	Ex
468	PJA2	2.11e-92	-0.195689646	Ex
469	RABAC1	2.54e-92	-0.270594719	Ex
470	RSRC2	2.55e-92	-0.335022414	Ex
471	HN1	2.81e-92	-0.376506808	Ex
472	TUBG2	3.03e-92	-0.30037449	Ex
473	PKD2	3.1e-92	-0.19559596	Ex
474	TTC8	3.91e-92	-0.373789317	Ex
475	ZBTB16	5.1699999999999996e-92	-0.131569595	Ex
476	KRAS	7.09e-92	-0.342280771	Ex
477	SELM	7.669999999999999e-92	-0.457057988	Ex
478	PRUNE2	8.71e-92	-0.182160196	Ex
479	PTPN14	8.75e-92	-0.356635462	Ex
480	C20orf194	1.14e-91	-0.153701125	Ex
481	ITM2B	1.16e-91	-0.231707188	Ex
482	TCEAL7	1.32e-91	-0.483740658	Ex
483	GABBR1	2.0599999999999998e-91	-0.196255153	Ex
484	NFX1	2.3999999999999998e-91	-0.176484339	Ex
485	CHCHD6	2.71e-91	-0.233860883	Ex
486	SLC30A9	2.84e-91	-0.200324391	Ex
487	RPL3	2.99e-91	-0.400014668	Ex
488	PITHD1	3.19e-91	-0.305183534	Ex
489	SFXN4	3.7699999999999996e-91	-0.631788536	Ex
490	FILIP1L	3.8e-91	-0.369252535	Ex
491	NSFL1C	4.6e-91	-0.31220124	Ex
492	CDC27	5.22e-91	-0.148069963	Ex
493	PLEKHB2	5.74e-91	-0.296474388	Ex
494	SRGAP3	8.239999999999999e-91	-0.139836157	Ex
495	TAF7	9.17e-91	-0.472062583	Ex
496	DNAJA1	9.91e-91	-0.309319889	Ex
497	ZFYVE9	1.1299999999999999e-90	-0.132242761	Ex
498	SECISBP2L	1.45e-90	-0.148989232	Ex
499	EIF5	1.46e-90	-0.246212585	Ex
500	RNF149	1.46e-90	-0.198878201	Ex
501	PSMB5	1.7799999999999999e-90	-0.320252685	Ex
502	COX6B1	1.95e-90	-0.228529824	Ex
503	ARPC1A	2.17e-90	-0.306161565	Ex
504	LAGE3	2.46e-90	-0.457421147	Ex
505	PCP4	2.83e-90	-0.647970976	Ex
506	TASP1	2.92e-90	-0.171706679	Ex
507	S100A6	3.37e-90	-0.4451873	Ex
508	GABARAPL1	3.53e-90	-0.205965334	Ex
509	ADAM17	3.74e-90	-0.241495451	Ex
510	SET	3.76e-90	-0.345488378	Ex
511	SH3GL2	4.81e-90	-0.150789355	Ex
512	LRRK1	5.0799999999999994e-90	-0.164137621	Ex
513	MPC2	5.79e-90	-0.361382275	Ex
514	STX12	5.809999999999999e-90	-0.244853551	Ex
